Sample	Genotype	Treatment	GenoTreatmentOTU	GenoTreatment	LOAD_hamPCR	square_root_LOAD_hamPCR
P001_S1	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.17717702	0.4209240074
P001_S10	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	0.59846605	0.7736058751
P001_S100	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	0.89968026	0.9485147653
P001_S101	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	13.21615044	3.635402377
P001_S104	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.85126116	0.9226381523
P001_S105	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	10.24882942	3.2013793
P001_S12	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	280.7093772	16.75438382
P001_S13	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	1.64279122	1.281714173
P001_S14	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	73.83421373	8.592683733
P001_S15	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.1227248	0.3503209957
P001_S16	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	67.15454339	8.194787574
P001_S17	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.03343459	0.1828512784
P001_S18	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.04241087	0.2059389958
P001_S19	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.10334061	0.3214663435
P001_S2	Est-1:acd6-null	DC	Est-1:acd6-null_DC_LOAD_row	Est-1:acd6-null_DC	262.562094	16.2037679
P001_S20	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	15.71895425	3.96471364
P001_S21	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	2.26486424	1.50494659
P001_S22	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	0.74063135	0.8605994132
P001_S23	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	7.95666529	2.820756156
P001_S25	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	0.44221702	0.664994
P001_S26	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.03239275	0.17997986
P001_S27	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.12864497	0.3586711168
P001_S28	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	18.7124183	4.325785281
P001_S29	Est-1:acd6-null	DC	Est-1:acd6-null_DC_LOAD_row	Est-1:acd6-null_DC	227.2389262	15.07444613
P001_S3	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.36149503	0.6012445675
P001_S30	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	91.40548258	9.560621454
P001_S31	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.04969202	0.2229170698
P001_S32	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	12.27386802	3.503408058
P001_S33	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	48.83740051	6.9883761
P001_S34	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.2450581	0.4950334332
P001_S35	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.41464635	0.6439303922
P001_S36	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	29.63291139	5.44361198
P001_S37	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	0.40474415	0.6361950566
P001_S38	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	5.79400404	2.40707375
P001_S39	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	0.2667233	0.5164526116
P001_S40	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	52.34051437	7.234674448
P001_S41	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.1256441	0.3544631151
P001_S42	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	22.00023882	4.690441218
P001_S43	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	0.4480387	0.6693569302
P001_S44	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	19.3006135	4.393246351
P001_S45	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	9.87403504	3.142297733
P001_S46	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.07581626	0.2753475259
P001_S47	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	95.76715375	9.786069372
P001_S48	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.04359991	0.2088059147
P001_S49	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	1.11366968	1.055305491
P001_S5	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.05884573	0.2425813884
P001_S50	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	0.38345723	0.6192392349
P001_S51	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	3.32929856	1.824636556
P001_S52	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	9.96350365	3.156501806
P001_S53	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.08780447	0.2963181905
P001_S54	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	3.59350169	1.895653368
P001_S55	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	2.03186275	1.425434232
P001_S56	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	1.1248422	1.060585782
P001_S57	Est-1:acd6-null	DC	Est-1:acd6-null_DC_LOAD_row	Est-1:acd6-null_DC	295.1198786	17.17905348
P001_S58	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	108.0844789	10.39636854
P001_S59	Est-1:acd6-null	DC	Est-1:acd6-null_DC_LOAD_row	Est-1:acd6-null_DC	191.0543606	13.82224152
P001_S6	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	7.33641069	2.708580937
P001_S61	Est-1:acd6-null	DC	Est-1:acd6-null_DC_LOAD_row	Est-1:acd6-null_DC	101.5531432	10.07735794
P001_S62	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	30.66199337	5.537327277
P001_S63	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	0.81969671	0.9053710344
P001_S65	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.04934885	0.2221460105
P001_S66	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	0.71503195	0.8455956185
P001_S67	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	0.59919103	0.7740743052
P001_S68	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	5.3755618	2.318525782
P001_S69	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	0.54158354	0.7359235966
P001_S7	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	10.05158088	3.170422824
P001_S70	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.06446161	0.2538929105
P001_S71	Est-1:acd6-null	DC	Est-1:acd6-null_DC_LOAD_row	Est-1:acd6-null_DC	335.4781919	18.31606377
P001_S73	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	3.73714612	1.933169967
P001_S74	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	60.71042781	7.791689663
P001_S75	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.13285321	0.3644903428
P001_S77	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.03608666	0.1899648915
P001_S78	Est-1:acd6-null	DC	Est-1:acd6-null_DC_LOAD_row	Est-1:acd6-null_DC	240.9092838	15.52125265
P001_S79	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	21.24459568	4.609186011
P001_S8	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.3808554	0.6171348313
P001_S81	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	40.18094916	6.338844466
P001_S82	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	2.92954772	1.711592159
P001_S83	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	0.72579344	0.8519351149
P001_S84	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	33.38723767	5.778169059
P001_S85	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	0.17650215	0.4201215895
P001_S86	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	149.2348078	12.21616993
P001_S87	Est-1:acd6-null	Other	Est-1:acd6-null_Other_LOAD_row	Est-1:acd6-null_Other	1.38082613	1.175085584
P001_S89	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.09668634	0.3109442715
P001_S9	Est-1:acd6-null	UNIN	Est-1:acd6-null_UNIN_LOAD_row	Est-1:acd6-null_UNIN	0.06688805	0.2586272414
P001_S90	Est-1	DC	Est-1_DC_LOAD_row	Est-1_DC	23.3958217	4.836922751
P001_S91	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	4.53606254	2.129803404
P001_S93	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	27.58774179	5.25240343
P001_S94	Est-1	Mix	Est-1_Mix_LOAD_row	Est-1_Mix	9.85081738	3.138601182
P001_S95	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	6.03395586	2.456411175
P001_S97	Est-1	Other	Est-1_Other_LOAD_row	Est-1_Other	1.23959001	1.113368766
P001_S98	Est-1	UNIN	Est-1_UNIN_LOAD_row	Est-1_UNIN	0.21811411	0.4670268836
P001_S99	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_LOAD_row	Est-1:acd6-null_Mix	42.5994832	6.526827959
